Wavelength Flux
5300.8076171875 45428.72727203369
5302.0576171875 43575.05351257324
5303.3076171875 42724.05124664307
5304.5576171875 43149.30342102051
5305.8076171875 43765.064056396484
5307.0576171875 43455.0636138916
5308.3076171875 42930.39584350586
5309.5576171875 44671.82847595215
5310.8076171875 46595.797454833984
5312.0576171875 46840.12683105469
5313.3076171875 47019.83589172363
5314.5576171875 47763.07740020752
5315.8076171875 49428.06153869629
5317.0576171875 49989.64685058594
5318.3076171875 49489.44175720215
5319.5576171875 48135.307861328125
5320.8076171875 47800.37895202637
5322.0576171875 48123.45881652832
5323.3076171875 49324.12578582764
5324.5576171875 51329.14176940918
5325.8076171875 52219.97819519043
5327.0576171875 52351.75437927246
5328.3076171875 52444.52014160156
5329.5576171875 52234.8673248291
5330.8076171875 52322.31677246094
5332.0576171875 51559.34436035156
5333.3076171875 50542.22848510742
5334.5576171875 49633.93537902832
5335.8076171875 48051.45347595215
5337.0576171875 47987.24284362793
5338.3076171875 49072.51933288574
5339.5576171875 49441.441635131836
5340.8076171875 50150.34521484375
5342.0576171875 51550.775466918945
5343.3076171875 52119.45230102539
5344.5576171875 52309.36964416504
5345.8076171875 52064.977279663086
5347.0576171875 52146.58152770996
5348.3076171875 53108.46040344238
5349.5576171875 53075.32601928711
5350.8076171875 52883.791107177734
5352.0576171875 51621.185287475586
5353.3076171875 50590.476165771484
5354.5576171875 50300.07743835449
5355.8076171875 50384.63166809082
5357.0576171875 50875.24369812012
5358.3076171875 51330.50370788574
5359.5576171875 51381.95162963867
5360.8076171875 50700.56315612793
5362.0576171875 49919.69187927246
5363.3076171875 48989.27099609375
5364.5576171875 48464.97204589844
5365.8076171875 46516.40571594238
5367.0576171875 45686.336013793945
5368.3076171875 46961.1540222168
5369.5576171875 49245.25282287598
5370.8076171875 50249.40118408203
5372.0576171875 51096.79379272461
5373.3076171875 51321.821685791016
5374.5576171875 51778.787521362305
5375.8076171875 51642.67108154297
5377.0576171875 50332.489028930664
5378.3076171875 49464.07731628418
5379.5576171875 49262.84948730469
5380.8076171875 50512.39582824707
5382.0576171875 51339.325592041016
5383.3076171875 51057.92349243164
5384.5576171875 51079.4206237793
5385.8076171875 50651.164947509766
5387.0576171875 50178.62043762207
5388.3076171875 50731.896240234375
5389.5576171875 51194.456451416016
5390.8076171875 52352.262756347656
5392.0576171875 53203.304595947266
5393.3076171875 53991.1315612793
5394.5576171875 54373.78184509277
5395.8076171875 55081.79789733887
5397.0576171875 54374.7219543457
5398.3076171875 53819.53358459473
5399.5576171875 53433.501403808594
5400.8076171875 52345.58497619629
5402.0576171875 51603.751205444336
5403.3076171875 50857.689361572266
