Title: Infrared Luminosities and Aromatic Features in the 24 micron 
       Flux Limited Sample of 5MUSES  
Authors: Wu Y., Helou G., Armus L., Cormier D., Shi Y., Dale D., Dasyra K., 
         Smith J.D., Papovich C., Draine B., Rahman N., Stierwalt S., Fadda D.,
         Lagache G., Wright E.L. 
Table: General Properties of the Sample
================================================================================
Byte-by-byte Description of file: apj368264t2_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units      Label   Explanations
--------------------------------------------------------------------------------
   1- 10 A10    ---        ID      Source 5MUSES identification 
  12- 37 A26    ---        Name    Source 5MUSES name
  39- 40 I2     h          RAh     Hour of Right Ascension (J2000) 
  42- 43 I2     min        RAm     Minute of Right Ascension (J2000) 
  45- 48 F4.1   s          RAs     Second of Right Ascension (J2000) 
      50 A1     ---        DE-     Sign of the Declination (J2000)
  51- 52 I2     deg        DEd     Degree of Declination (J2000) 
  54- 55 I2     arcmin     DEm     Arcminute of Declination (J2000) 
  57- 60 F4.1   arcsec     DEs     Arcsecond of Declination (J2000) 
  62- 66 F5.3   ---        z       Redshift 
      68 I1     ---      f_z       Flag on z (1)  
  70- 73 F4.1   mJy        F24     Spitzer/MIPS 24 micron flux density  
      75 A1     ---      l_EW6.2   Limit flag on EW6.2
  76- 81 F6.3   um         EW6.2   ? Equivalent width of 6.2 micron PAH band
  83- 87 F5.3   um       e_EW6.2   ? Uncertainty in 6.2{mu}m EW 
  89- 93 F5.2   [solLum]   logLIR  Log of IR luminosity
  95- 98 F4.2   [solLum] e_logLIR  Uncertainty in logLIR
5MUSES-071 5MUSES_J022655.87-040302.2 02 26 55.9 -04 03 02.5 0.135 2  6.9   1.026 0.179 10.59 0.05 
5MUSES-073 5MUSES_J022720.68-044537.1 02 27 20.7 -04 45 37.2 0.055 2 73.1   0.625 0.032 11.06 0.04 
5MUSES-074 5MUSES_J022738.53-044702.7 02 27 38.5 -04 47 02.8 0.173 2  7.1   0.918 0.032 11.13 0.03 
5MUSES-075 5MUSES_J022741.64-045650.5 02 27 41.6 -04 56 50.6 0.055 2 11.4   0.627 0.004 10.53 0.03 
5MUSES-077 5MUSES_J103237.44+580845.9 10 32 37.4 +58 08 46.0 0.251 2  6.1   0.394 0.060 11.74 0.04 
5MUSES-079 5MUSES_J103450.50+584418.2 10 34 50.5 +58 44 18.2 0.091 1 20.1   0.643 0.047 10.90 0.06 
5MUSES-080 5MUSES_J103513.72+573444.6 10 35 13.7 +57 34 44.6 1.537 2  5.5 < 0.171       13.25 0.08 
5MUSES-081 5MUSES_J103527.20+583711.9 10 35 27.2 +58 37 12.0 0.885 2  6.9   0.080 0.010 12.53 0.04 
5MUSES-082 5MUSES_J103531.46+581234.2 10 35 31.5 +58 12 34.2 0.176 2  5.0   0.574 0.018 11.25 0.04 
5MUSES-083 5MUSES_J103542.76+583313.1 10 35 42.8 +58 33 13.1 0.087 2  6.6   0.761 0.002 10.51 0.06 
5MUSES-084 5MUSES_J103601.81+581836.2 10 36 01.8 +58 18 36.2 0.100 1  6.0   0.421 0.012 10.63 0.04 
